53831 records to read
11/18/22	21:34:13	8754
11/18/22	21:34:14	8716
11/18/22	21:34:16	8699
11/18/22	21:34:17	8709
11/18/22	21:34:18	8716
11/18/22	21:34:19	8678
11/18/22	21:34:20	8665
11/18/22	21:34:21	8666
11/18/22	21:34:22	8634
11/18/22	21:34:23	8554
11/18/22	21:35:10	8767
11/18/22	21:35:11	8748
11/18/22	21:35:12	8735
11/18/22	21:35:13	8710
11/18/22	21:35:15	8698
11/18/22	21:35:16	8684
11/18/22	21:35:17	8660
11/18/22	21:35:18	8650
11/18/22	21:35:19	8638
11/18/22	21:35:20	8627
12/06/22	15:59:59	10110
12/06/22	16:00:00	10045
12/06/22	16:00:01	10960
12/06/22	16:00:02	13648
12/06/22	16:00:03	11683
12/06/22	16:00:04	11710
12/06/22	16:00:05	13341
12/06/22	16:00:06	13478
12/06/22	16:00:07	13277
12/06/22	16:00:08	13385
12/06/22	16:29:59	12456
12/06/22	16:30:00	12429
12/06/22	16:30:01	12241
12/06/22	16:30:02	12196
12/06/22	16:30:03	12268
12/06/22	16:30:04	12178
12/06/22	16:30:05	12177
12/06/22	16:30:06	12389
12/06/22	16:30:07	12292
12/06/22	16:30:09	12371
12/06/22	17:00:00	12368
12/06/22	17:00:01	12252
12/06/22	17:00:02	12321
12/06/22	17:00:03	12289
12/06/22	17:00:04	12325
12/06/22	17:00:05	12213
12/06/22	17:00:06	12289
12/06/22	17:00:07	12380
12/06/22	17:00:08	12322
12/06/22	17:00:10	12216
12/06/22	17:30:01	12301
12/06/22	17:30:02	12288
12/06/22	17:30:03	12313
12/06/22	17:30:04	12365
12/06/22	17:30:05	12334
12/06/22	17:30:06	12534
12/06/22	17:30:07	12213
12/06/22	17:30:08	12432
12/06/22	17:30:09	12434
12/06/22	17:30:11	12404
12/06/22	18:00:02	12417
12/06/22	18:00:03	12460
12/06/22	18:00:04	12324
12/06/22	18:00:05	12292
12/06/22	18:00:06	12278
12/06/22	18:00:07	12235
12/06/22	18:00:08	12325
12/06/22	18:00:09	12213
12/06/22	18:00:10	12322
12/06/22	18:00:12	12302
12/06/22	18:30:03	12161
12/06/22	18:30:04	12209
12/06/22	18:30:05	12364
12/06/22	18:30:06	12266
12/06/22	18:30:07	12091
12/06/22	18:30:08	12349
12/06/22	18:30:09	12202
12/06/22	18:30:10	12288
12/06/22	18:30:11	12314
12/06/22	18:30:13	12233
12/06/22	19:00:04	12163
12/06/22	19:00:05	12177
12/06/22	19:00:06	12068
12/06/22	19:00:07	12164
12/06/22	19:00:08	12097
12/06/22	19:00:09	12177
12/06/22	19:00:10	12100
12/06/22	19:00:11	12088
12/06/22	19:00:12	11945
12/06/22	19:00:14	12256
12/06/22	19:30:05	12019
12/06/22	19:30:06	11994
12/06/22	19:30:07	12039
12/06/22	19:30:08	11978
12/06/22	19:30:09	11995
