reef,Season,count,mean_PARmolday,sd_PARmolday,min_PARmolday,max_PARmolday,range_PARmolday
Emerald,Dry,165,4.30632627544813,1.8776961591995585,0.0598836380842553,9.514700324688972,9.454816686604717
Emerald,Wet,177,4.575665204174045,1.9028739988568553,0.004194241148049015,9.343157414549525,9.338963173401476
MacNorth,Dry,165,6.705803158506707,3.0501242184302773,1.1119642800667677,13.063691502101753,11.951727222034984
MacNorth,Wet,47,3.4730604189778878,2.625045233569459,0.006192400678237203,10.032865880032016,10.026673479353779
