FrameSync,DateTime (UTC+00:00),Sample Number (#),Error Flags (#),External pH (pH),Internal pH (pH),External pH (Volt),Internal pH (Volt),pH Temperature (Celsius),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02058,11/14/2022 00:00:00,1,0000,7.0940,7.1194,-1.005352,-1.048142,  23.1486, 43.5, 22.6
SEAFET02058,11/14/2022 00:30:00,2,0000,7.0945,7.1191,-1.005315,-1.048161,  23.1611, 43.4, 22.6
SEAFET02058,11/14/2022 01:00:00,3,0000,7.0936,7.1185,-1.005366,-1.048195,  23.1726, 43.5, 22.6
SEAFET02058,11/14/2022 01:30:00,4,0000,7.0937,7.1186,-1.005354,-1.048182,  23.1833, 43.5, 22.6
SEAFET02058,11/14/2022 02:00:00,5,0000,7.0932,7.1181,-1.005374,-1.048212,  23.1922, 43.5, 22.6
SEAFET02058,11/14/2022 02:30:00,6,0000,7.0928,7.1178,-1.005396,-1.048228,  23.1985, 43.5, 22.6
SEAFET02058,11/14/2022 03:00:00,7,0000,7.0924,7.1178,-1.005413,-1.048231,  23.2055, 43.5, 22.6
SEAFET02058,11/14/2022 03:30:00,8,0000,7.0929,7.1178,-1.005386,-1.048231,  23.2110, 43.5, 22.6
SEAFET02058,11/14/2022 04:00:00,9,0000,7.0925,7.1177,-1.005406,-1.048237,  23.2135, 43.5, 22.6
SEAFET02058,11/14/2022 04:30:00,10,0000,7.0932,7.1180,-1.005363,-1.048216,  23.2147, 43.5, 22.6
SEAFET02058,11/14/2022 05:00:00,11,0000,7.0922,7.1172,-1.005421,-1.048265,  23.2164, 43.5, 22.6
SEAFET02058,11/14/2022 05:30:00,12,0000,7.0927,7.1177,-1.005394,-1.048236,  23.2145, 43.5, 22.6
SEAFET02058,11/14/2022 06:00:00,13,0000,7.0922,7.1168,-1.005420,-1.048287,  23.2133, 43.5, 22.6
SEAFET02058,11/14/2022 06:30:00,14,0000,7.0920,7.1169,-1.005435,-1.048283,  23.2110, 43.5, 22.6
SEAFET02058,11/14/2022 07:00:00,15,0000,7.0920,7.1169,-1.005435,-1.048282,  23.2086, 43.5, 22.6
SEAFET02058,11/14/2022 07:30:00,16,0000,7.0918,7.1168,-1.005451,-1.048289,  23.2071, 43.5, 22.6
SEAFET02058,11/14/2022 08:00:00,17,0000,7.0922,7.1169,-1.005429,-1.048284,  23.2051, 43.5, 22.7
SEAFET02058,11/14/2022 08:30:00,18,0000,7.0919,7.1168,-1.005444,-1.048286,  23.2032, 43.5, 22.6
SEAFET02058,11/14/2022 09:00:00,19,0000,7.0922,7.1172,-1.005429,-1.048262,  23.2009, 43.5, 22.7
SEAFET02058,11/14/2022 09:30:00,20,0000,7.0920,7.1169,-1.005442,-1.048283,  23.1977, 43.5, 22.6
SEAFET02058,11/14/2022 10:00:00,21,0000,7.0922,7.1172,-1.005433,-1.048267,  23.1930, 43.5, 22.6
SEAFET02058,11/14/2022 10:30:00,22,0000,7.0928,7.1175,-1.005403,-1.048249,  23.1880, 43.5, 22.6
SEAFET02058,11/14/2022 11:00:00,23,0000,7.0928,7.1180,-1.005406,-1.048221,  23.1829, 43.5, 22.6
SEAFET02058,11/14/2022 11:30:00,24,0000,7.0918,7.1171,-1.005464,-1.048276,  23.1775, 43.5, 22.6
SEAFET02058,11/14/2022 12:00:00,25,0000,7.0925,7.1176,-1.005429,-1.048248,  23.1697, 43.5, 22.7
SEAFET02058,11/14/2022 12:30:00,26,0000,7.0926,7.1177,-1.005431,-1.048242,  23.1626, 43.5, 22.6
SEAFET02058,11/14/2022 13:00:00,27,0000,7.0921,7.1174,-1.005464,-1.048262,  23.1541, 43.5, 22.6
SEAFET02058,11/14/2022 13:30:00,28,0000,7.0922,7.1173,-1.005461,-1.048264,  23.1474, 43.5, 22.6
SEAFET02058,11/14/2022 14:00:00,29,0000,7.0924,7.1173,-1.005454,-1.048269,  23.1396, 43.5, 22.6
SEAFET02058,11/14/2022 14:30:00,30,0000,7.0923,7.1177,-1.005465,-1.048245,  23.1299, 43.5, 22.6
SEAFET02058,11/14/2022 15:00:00,31,0000,7.0925,7.1177,-1.005459,-1.048244,  23.1198, 43.5, 22.6
SEAFET02058,11/14/2022 15:30:00,32,0000,7.0924,7.1179,-1.005468,-1.048236,  23.1096, 43.5, 22.6
SEAFET02058,11/14/2022 16:00:00,33,0000,7.0919,7.1172,-1.005506,-1.048277,  23.0932, 43.5, 22.6
SEAFET02058,11/14/2022 16:30:00,34,0000,7.0916,7.1171,-1.005539,-1.048285,  23.0742, 43.5, 22.6
SEAFET02058,11/14/2022 17:00:00,35,0000,7.0927,7.1186,-1.005481,-1.048203,  23.0547, 43.5, 22.6
SEAFET02058,11/14/2022 17:30:00,36,0000,7.0919,7.1183,-1.005538,-1.048223,  23.0364, 43.5, 22.5
SEAFET02058,11/14/2022 18:00:00,37,0000,7.0925,7.1190,-1.005513,-1.048183,  23.0242, 43.5, 22.5
SEAFET02058,11/14/2022 18:30:00,38,0000,7.0921,7.1187,-1.005538,-1.048201,  23.0198, 43.5, 22.5
SEAFET02058,11/14/2022 19:00:00,39,0000,7.0923,7.1187,-1.005526,-1.048199,  23.0225, 43.5, 22.5
SEAFET02058,11/14/2022 19:30:00,40,0000,7.0923,7.1184,-1.005521,-1.048218,  23.0346, 43.5, 22.5
SEAFET02058,11/14/2022 20:00:00,41,0000,7.0916,7.1176,-1.005551,-1.048261,  23.0508, 43.5, 22.6
SEAFET02058,11/14/2022 20:30:00,42,0000,7.0916,7.1176,-1.005545,-1.048258,  23.0623, 43.6, 22.5
SEAFET02058,11/14/2022 21:00:00,43,0000,7.0911,7.1173,-1.005568,-1.048275,  23.0669, 43.6, 22.5
SEAFET02058,11/14/2022 21:30:00,44,0000,7.0910,7.1172,-1.005578,-1.048283,  23.0664, 43.6, 22.5
SEAFET02058,11/14/2022 22:00:00,45,0000,7.0909,7.1172,-1.005586,-1.048282,  23.0633, 43.6, 22.5
SEAFET02058,11/14/2022 22:30:00,46,0000,7.0906,7.1171,-1.005600,-1.048286,  23.0650, 43.5, 22.5
SEAFET02058,11/14/2022 23:00:00,47,0000,7.0911,7.1177,-1.005564,-1.048252,  23.0753, 43.5, 22.5
SEAFET02058,11/14/2022 23:30:00,48,0000,7.0908,7.1175,-1.005571,-1.048259,  23.0932, 43.6, 22.5
SEAFET02058,11/15/2022 00:00:00,49,0000,7.0898,7.1165,-1.005624,-1.048318,  23.1124, 43.6, 22.6
SEAFET02058,11/15/2022 00:30:00,50,0000,7.0902,7.1171,-1.005584,-1.048282,  23.1345, 43.6, 22.6
SEAFET02058,11/15/2022 01:00:00,51,0000,7.0890,7.1158,-1.005644,-1.048351,  23.1558, 43.6, 22.6
SEAFET02058,11/15/2022 01:30:00,52,0000,7.0892,7.1159,-1.005623,-1.048345,  23.1759, 43.6, 22.6
SEAFET02058,11/15/2022 02:00:00,53,0000,7.0878,7.1145,-1.005690,-1.048424,  23.1948, 43.6, 22.6
SEAFET02058,11/15/2022 02:30:00,54,0000,7.0889,7.1151,-1.005621,-1.048388,  23.2110, 43.6, 22.6
SEAFET02058,11/15/2022 03:00:00,55,0000,7.0888,7.1151,-1.005614,-1.048386,  23.2266, 43.6, 22.6
SEAFET02058,11/15/2022 03:30:00,56,0000,7.0885,7.1144,-1.005626,-1.048422,  23.2386, 43.6, 22.6
SEAFET02058,11/15/2022 04:00:00,57,0000,7.0880,7.1137,-1.005650,-1.048463,  23.2488, 43.6, 22.7
SEAFET02058,11/15/2022 04:30:00,58,0000,7.0885,7.1142,-1.005616,-1.048435,  23.2570, 43.6, 22.7
SEAFET02058,11/15/2022 05:00:00,59,0000,7.0880,7.1139,-1.005642,-1.048451,  23.2632, 43.6, 22.7
SEAFET02058,11/15/2022 05:30:00,60,0000,7.0877,7.1134,-1.005654,-1.048479,  23.2675, 43.6, 22.7
SEAFET02058,11/15/2022 06:00:00,61,0000,7.0874,7.1131,-1.005675,-1.048500,  23.2710, 43.6, 22.7
SEAFET02058,11/15/2022 06:30:00,62,0000,7.0879,7.1136,-1.005643,-1.048468,  23.2718, 43.6, 22.7
SEAFET02058,11/15/2022 07:00:00,63,0000,7.0882,7.1136,-1.005625,-1.048465,  23.2726, 43.6, 22.7
SEAFET02058,11/15/2022 07:30:00,64,0000,7.0879,7.1131,-1.005645,-1.048498,  23.2718, 43.6, 22.7
SEAFET02058,11/15/2022 08:00:00,65,0000,7.0879,7.1135,-1.005643,-1.048476,  23.2706, 43.6, 22.7
SEAFET02058,11/15/2022 08:30:00,66,0000,7.0874,7.1127,-1.005677,-1.048521,  23.2677, 43.6, 22.7
SEAFET02058,11/15/2022 09:00:00,67,0000,7.0871,7.1126,-1.005693,-1.048527,  23.2640, 43.6, 22.7
SEAFET02058,11/15/2022 09:30:00,68,0000,7.0875,7.1130,-1.005673,-1.048506,  23.2593, 43.6, 22.7
SEAFET02058,11/15/2022 10:00:00,69,0000,7.0875,7.1130,-1.005678,-1.048505,  23.2550, 43.6, 22.7
SEAFET02058,11/15/2022 10:30:00,70,0000,7.0876,7.1132,-1.005675,-1.048492,  23.2484, 43.6, 22.7
SEAFET02058,11/15/2022 11:00:00,71,0000,7.0878,7.1134,-1.005667,-1.048481,  23.2430, 43.6, 22.7
SEAFET02058,11/15/2022 11:30:00,72,0000,7.0883,7.1138,-1.005642,-1.048461,  23.2375, 43.6, 22.7
SEAFET02058,11/15/2022 12:00:00,73,0000,7.0878,7.1138,-1.005669,-1.048461,  23.2320, 43.6, 22.7
SEAFET02058,11/15/2022 12:30:00,74,0000,7.0877,7.1136,-1.005681,-1.048475,  23.2256, 43.6, 22.7
SEAFET02058,11/15/2022 13:00:00,75,0000,7.0882,7.1142,-1.005653,-1.048442,  23.2190, 43.6, 22.7
SEAFET02058,11/15/2022 13:30:00,76,0000,7.0875,7.1135,-1.005697,-1.048483,  23.2133, 43.6, 22.7
SEAFET02058,11/15/2022 14:00:00,77,0000,7.0883,7.1139,-1.005656,-1.048458,  23.2086, 43.6, 22.7
SEAFET02058,11/15/2022 14:30:00,78,0000,7.0874,7.1135,-1.005708,-1.048484,  23.2055, 43.6, 22.6
SEAFET02058,11/15/2022 15:00:00,79,0000,7.0880,7.1143,-1.005673,-1.048433,  23.2032, 43.6, 22.7
SEAFET02058,11/15/2022 15:30:00,80,0000,7.0874,7.1138,-1.005712,-1.048467,  23.2047, 43.6, 22.7
